apellido1,apellido2,nivel,nombre,name
COUTURIER,BAÑUELOS,1,DELIA,"COUTURIER BAÑUELOS, DELIA"
GARCIA,HERNANDEZ,2,GLORIA,"GARCIA HERNANDEZ, GLORIA"
NATERA,MARIN,1,JOSE,"NATERA MARIN, JOSE"
TORRES,ZARATE,1,FERMIN,"TORRES ZARATE, FERMIN"
MARTINEZ,PREECE,1,MARISSA,"MARTINEZ PREECE, MARISSA"
SANTILLAN,RAMIREZ,1,IRIS,"SANTILLAN RAMIREZ, IRIS"
CABRERA,AMADOR,1,RAUL,"CABRERA AMADOR, RAUL"
MONTERRUBIO,REDONDA,1,JASMIN,"MONTERRUBIO REDONDA, JASMIN"
ORTIZ,LEROUX,1,JORGE,"ORTIZ LEROUX, JORGE"
GARDUÑO,ANDRADE,1,MARIA,"GARDUÑO ANDRADE, MARIA"
SANDOVAL,CERVANTES,C,DANIEL,"SANDOVAL CERVANTES, DANIEL"
BERUMEN,CAMPOS,1,ARTURO,"BERUMEN CAMPOS, ARTURO"
LUNA,GOMEZ,C,LUIS,"LUNA GOMEZ, LUIS"
CEBALLOS,MINA,C,OWEN,"CEBALLOS MINA, OWEN"
GOMEZ,RAMOS,C,ELSY,"GOMEZ RAMOS, ELSY"
CHAVEZ,RODRIGUEZ,C,DANILO,"CHAVEZ RODRIGUEZ, DANILO"
MORALES,GUZMAN,C,JESUS,"MORALES GUZMAN, JESUS"
PEREZ,EXPOSITO,1,LEONEL,"PEREZ EXPOSITO, LEONEL"
ROJAS,RAJS,1,MARIA,"ROJAS RAJS, MARIA"
BARTRA,VERGES,3,ARMANDO,"BARTRA VERGES, ARMANDO"
HERNANDEZ,CORDERO,C,ADRIAN,"HERNANDEZ CORDERO, ADRIAN"
VIEYRA,BAHENA,C,PEDRO,"VIEYRA BAHENA, PEDRO"
CRUZ,RODRIGUEZ,C,DAVID,"CRUZ RODRIGUEZ, DAVID"
AZAMAR,ALONSO,C,ALEIDA,"AZAMAR ALONSO, ALEIDA"
ESPINOSA,INFANTE,1,ELVIA,"ESPINOSA INFANTE, ELVIA"
MARTINEZ,MENDOZA,C,ABIGAIL,"MARTINEZ MENDOZA, ABIGAIL"
SILVA,MALDONADO,C,MARCOS,"SILVA MALDONADO, MARCOS"
NAJERA,ESPINOSA,C,OZZIEL,"NAJERA ESPINOSA, OZZIEL"
RODRIGUEZ,CANO,C,CESAR,"RODRIGUEZ CANO, CESAR"
RAMIREZ,DIAZ,C,EDWIN,"RAMIREZ DIAZ, EDWIN"
REVOLLO,FERNANDEZ,1,DANIEL,"REVOLLO FERNANDEZ, DANIEL"
MORALES,ARROYO,C,GILBERTO,"MORALES ARROYO, GILBERTO"
SOSA,CASTRO,1,MAGNOLIA,"SOSA CASTRO, MAGNOLIA"
SOTELO,GUTIERREZ,C,ARTURO,"SOTELO GUTIERREZ, ARTURO"
JAIME,CAMACHO,C,DANIEL,"JAIME CAMACHO, DANIEL"
EJEA,MENDOZA,1,GUILLERMO,"EJEA MENDOZA, GUILLERMO"
GARCIA,AGUILAR,C,RAUL,"GARCIA AGUILAR, RAUL"
PEDRAZA,BUCIO,C,CLAUDIA,"PEDRAZA BUCIO, CLAUDIA"
CHAVEZ,CORTES,1,MARTA,"CHAVEZ CORTES, MARTA"
REYES,ZARATE,C,FRANCISCO,"REYES ZARATE, FRANCISCO"
ROZGA,LUTER,2,RYSZARD,"ROZGA LUTER, RYSZARD"
MARTINEZ,GONZALEZ,1,NATAL,"MARTINEZ GONZALEZ, NATAL"
DE LA ROSA,RODRIGUEZ,C,JOSE,"DE LA ROSA RODRIGUEZ, JOSE"
ORTIZ,HENDERSON,C,GLADYS,"ORTIZ HENDERSON, GLADYS"
LARA,CABALLERO,1,MANUEL,"LARA CABALLERO, MANUEL"
AGUILAR,ASTORGA,1,CARLOS,"AGUILAR ASTORGA, CARLOS"
HERNANDEZ,MAR,1,RAUL,"HERNANDEZ MAR, RAUL"
FIGUEROA,ROMERO,C,RAUL,"FIGUEROA ROMERO, RAUL"
ROSALES,GONZALEZ,C,RODRIGO,"ROSALES GONZALEZ, RODRIGO"
