apellido1,apellido2,nivel,nombre,name
HERNANDEZ,LOPEZ,C,SILVIA,"HERNANDEZ LOPEZ, SILVIA"
FINKELSTEIN,SHAPIRO,1,DANIEL,"FINKELSTEIN SHAPIRO, DANIEL"
ALEJO,JAIME,1,ANTONIO,"ALEJO JAIME, ANTONIO"
GIL,CARRASCO,1,FELIX,"GIL CARRASCO, FELIX"
RUIZ,CRUZ,1,MATILDE,"RUIZ CRUZ, MATILDE"
JIMENEZ,ROMAN,1,JESUS,"JIMENEZ ROMAN, JESUS"
HERNANDEZ,ZIMBRON,1,LUIS,"HERNANDEZ ZIMBRON, LUIS"
FROMOW,GUERRA,1,JORGE,"FROMOW GUERRA, JORGE"
QUIROZ,MERCADO,3,HUGO,"QUIROZ MERCADO, HUGO"
BENAVIDES,PERALES,2,GUILLERMO,"BENAVIDES PERALES, GUILLERMO"
ALEXANDROVA,KABADJOVA,1,BILIANA,"ALEXANDROVA KABADJOVA, BILIANA"
MARTINEZ,JARAMILLO,1,SERAFIN,"MARTINEZ JARAMILLO, SERAFIN"
IBARRA,RAMIREZ,1,RAUL,"IBARRA RAMIREZ, RAUL"
BATIZ,ZUK,C,ENRIQUE,"BATIZ ZUK, ENRIQUE"
LOPEZ,NORIA,C,GABRIELA,"LOPEZ NORIA, GABRIELA"
CARRILLO,ABREGO,C,JULIO,"CARRILLO ABREGO, JULIO"
TELLO,BRAVO,C,BENJAMIN,"TELLO BRAVO, BENJAMIN"
BOONMAN,sin apellido Materno,C,TJEERD,"BOONMAN sin apellido Materno, TJEERD"
ALFARO,MONTUFAR,C,CARLOS,"ALFARO MONTUFAR, CARLOS"
VARGAS,MAGAÑA,C,MARCOS,"VARGAS MAGAÑA, MARCOS"
ROMAN,RANGEL,1,EDGAR,"ROMAN RANGEL, EDGAR"
DOMINGUEZ,MEDINA,C,CHRISTIAN,"DOMINGUEZ MEDINA, CHRISTIAN"
MOYA,SANCHEZ,C,EDUARDO,"MOYA SANCHEZ, EDUARDO"
MONTERRUBIO,VELASCO,C,MARISOL,"MONTERRUBIO VELASCO, MARISOL"
CRUZ,HIPOLITO,1,HUGO,"CRUZ HIPOLITO, HUGO"
POLANCO,MARTINEZ,1,JOSUE,"POLANCO MARTINEZ, JOSUE"
CANO,RUIZ,C,AMANDA,"CANO RUIZ, AMANDA"
AGUILAR,DAVIS,C,VIRGINIA,"AGUILAR DAVIS, VIRGINIA"
GNECCO,MEDINA,3,DINO,"GNECCO MEDINA, DINO"
REYES,LUNA,1,ROSALINA,"REYES LUNA, ROSALINA"
GUTIERREZ,PEREZ,2,JAIME,"GUTIERREZ PEREZ, JAIME"
SANDOVAL,RAMIREZ,3,JESUS,"SANDOVAL RAMIREZ, JESUS"
GONZALEZ,VERGARA,2,ENRIQUE,"GONZALEZ VERGARA, ENRIQUE"
DAVILA,JIMNEZ,2,MARTIN,"DAVILA JIMNEZ, MARTIN"
EGUIBAR,CUENCA,3,JOSE,"EGUIBAR CUENCA, JOSE"
QUINTERO,CORTES,3,LETICIA,"QUINTERO CORTES, LETICIA"
HERRERA,CAMACHO,1,IRMA,"HERRERA CAMACHO, IRMA"
ARROYO,CARRANZA,1,SANDRA,"ARROYO CARRANZA, SANDRA"
BRAMBILA,COLOMBRES,2,EDUARDO,"BRAMBILA COLOMBRES, EDUARDO"
FLORES,SEGURA,1,HENOC,"FLORES SEGURA, HENOC"
ORTIZ,MARQUEZ,2,JOSE,"ORTIZ MARQUEZ, JOSE"
MANJARREZ,LOPEZ,2,ELIAS,"MANJARREZ LOPEZ, ELIAS"
SANCHEZ,ALONSO,1,MARIA,"SANCHEZ ALONSO, MARIA"
MOYAHO,MARTINEZ,1,ALEJANDRO,"MOYAHO MARTINEZ, ALEJANDRO"
JUAREZ,POSADAS,1,JORGE,"JUAREZ POSADAS, JORGE"
GIRON,ORTIZ,3,JORGE,"GIRON ORTIZ, JORGE"
TERAN,VAZQUEZ,2,JOEL,"TERAN VAZQUEZ, JOEL"
SCIOR,sin apellido Materno,2,THOMAS,"SCIOR sin apellido Materno, THOMAS"
CASTAÑEDA,LUCIO,1,MIGUEL,"CASTAÑEDA LUCIO, MIGUEL"
BERNES,FLOURIOT,3,SYLVAIN,"BERNES FLOURIOT, SYLVAIN"
CABRERA,VIVAS,1,BLANCA,"CABRERA VIVAS, BLANCA"
REYES,Y ORTEGA,1,MARIA,"REYES Y ORTEGA, MARIA"
GONZALEZ,OREJA,1,JOSE,"GONZALEZ OREJA, JOSE"
MEZA,REYES,1,MARIA,"MEZA REYES, MARIA"
SILVA,GOMEZ,1,ADRIANA,"SILVA GOMEZ, ADRIANA"
SARTILLO,PISCIL,2,FERNANDO,"SARTILLO PISCIL, FERNANDO"
QUINTERO,HERNANDEZ,1,VERONICA,"QUINTERO HERNANDEZ, VERONICA"
TRUJILLO,HERNANDEZ,1,ANGELICA,"TRUJILLO HERNANDEZ, ANGELICA"
MONTIEL,SMITH,1,MARIA,"MONTIEL SMITH, MARIA"
MENDOZA,MARTINEZ,1,ANGEL,"MENDOZA MARTINEZ, ANGEL"
MORAN,RAYA,1,CAROLINA,"MORAN RAYA, CAROLINA"
HERNANDEZ,LINARES,1,MARIA,"HERNANDEZ LINARES, MARIA"
SOSA,RIVADENEYRA,1,MARTHA,"SOSA RIVADENEYRA, MARTHA"
AMADOR,RAMIREZ,1,MARIA,"AMADOR RAMIREZ, MARIA"
REYES,SANDOVAL,2,ARTURO,"REYES SANDOVAL, ARTURO"
OREA,FLORES,1,MARIA,"OREA FLORES, MARIA"
ROSAS,MURRIETA,1,NORA,"ROSAS MURRIETA, NORA"
MARTINEZ,CONTRERAS,1,REBECA,"MARTINEZ CONTRERAS, REBECA"
ANDRES,HERNANDEZ,1,AGUSTINA,"ANDRES HERNANDEZ, AGUSTINA"
CERON,RIVERA,1,MARGARITA,"CERON RIVERA, MARGARITA"
CRUZ,GREGORIO,1,SILVANO,"CRUZ GREGORIO, SILVANO"
GALICIA,ISASMENDI,1,SALVADOR,"GALICIA ISASMENDI, SALVADOR"
MEZA,LEON,1,ROSA,"MEZA LEON, ROSA"
HERNANDEZ,TELLEZ,1,MARIA,"HERNANDEZ TELLEZ, MARIA"
FIGUEROA,CASTRO,1,DULCE,"FIGUEROA CASTRO, DULCE"
ROCHA,GRACIA,1,ROSA,"ROCHA GRACIA, ROSA"
TORRES,JACOME,1,JULIAN,"TORRES JACOME, JULIAN"
MARIN,CEVADA,C,VIANEY,"MARIN CEVADA, VIANEY"
SANSINENEA,ROYANO,1,ESTIBALIZ,"SANSINENEA ROYANO, ESTIBALIZ"
CAMARILLO,JIMENEZ,1,ELSA,"CAMARILLO JIMENEZ, ELSA"
SANDOVAL,RUIZ,C,CESAR,"SANDOVAL RUIZ, CESAR"
MERINO,MONTIEL,1,PENELOPE,"MERINO MONTIEL, PENELOPE"
SANCHEZ,GAYTAN,1,BRENDA,"SANCHEZ GAYTAN, BRENDA"
PASTELIN,ROJAS,C,CESAR,"PASTELIN ROJAS, CESAR"
PEREZ,AGUILAR,1,JOSE,"PEREZ AGUILAR, JOSE"
LOZANO,ZARAIN,1,PATRICIA,"LOZANO ZARAIN, PATRICIA"
GUEVARA,FIORE,1,PALESTINA,"GUEVARA FIORE, PALESTINA"
CEPEDA,CORNEJO,1,VERONICA,"CEPEDA CORNEJO, VERONICA"
MILFLORES,FLORES,C,LORENA,"MILFLORES FLORES, LORENA"
APARICIO,SOLANO,1,DAVID,"APARICIO SOLANO, DAVID"
TAPIA,LOPEZ,1,JESUS,"TAPIA LOPEZ, JESUS"
MORALES,LARA,C,LAURA,"MORALES LARA, LAURA"
RAMIREZ,BRAVO,C,OSVALDO,"RAMIREZ BRAVO, OSVALDO"
PEREZ,PEREZ,1,ROSA,"PEREZ PEREZ, ROSA"
CAMACHO,ABREGO,1,ISRAEL,"CAMACHO ABREGO, ISRAEL"
GOMEZ,CALVARIO,C,VICTOR,"GOMEZ CALVARIO, VICTOR"
JEREZANO,DOMINGUEZ,1,ALBERTO,"JEREZANO DOMINGUEZ, ALBERTO"
JIMENEZ,HERNANDEZ,1,JACQUELINE,"JIMENEZ HERNANDEZ, JACQUELINE"
VAZQUEZ,LIMA,1,HUGO,"VAZQUEZ LIMA, HUGO"
RIVAS,ARANCIBIA,1,SOMBRA,"RIVAS ARANCIBIA, SOMBRA"
ROMERO,LOPEZ,C,ANABEL,"ROMERO LOPEZ, ANABEL"
CABALLERO,JIMENEZ,C,DOLORES,"CABALLERO JIMENEZ, DOLORES"
ORNELAS,DAVILA,C,OMAR,"ORNELAS DAVILA, OMAR"
SALDAÑA,VAZQUEZ,1,ROMEO,"SALDAÑA VAZQUEZ, ROMEO"
HERNANDEZ,ANZALDO,1,SAMUEL,"HERNANDEZ ANZALDO, SAMUEL"
ISLAS,NAVARRETE,C,ANGEL,"ISLAS NAVARRETE, ANGEL"
GORDILLO,GUERRA,C,PAOLA,"GORDILLO GUERRA, PAOLA"
MOLINA,MARTINEZ,C,ARCANGEL,"MOLINA MARTINEZ, ARCANGEL"
HANDAL,SILVA,C,ANABELLA,"HANDAL SILVA, ANABELLA"
BACA,sin apellido Materno,1,BEATRIZ,"BACA sin apellido Materno, BEATRIZ"
FUENTES,RAMIREZ,1,LUIS,"FUENTES RAMIREZ, LUIS"
VAZQUEZ,CRUZ,1,CANDELARIO,"VAZQUEZ CRUZ, CANDELARIO"
ARAGON,GARCIA,1,AGUSTIN,"ARAGON GARCIA, AGUSTIN"
TORRES,RAMIREZ,2,EDUARDO,"TORRES RAMIREZ, EDUARDO"
REYES,LOPEZ,1,DELFINO,"REYES LOPEZ, DELFINO"
RIVERA,TAPIA,1,JOSE,"RIVERA TAPIA, JOSE"
MUÑOZ,ROJAS,1,JESUS,"MUÑOZ ROJAS, JESUS"
LOPEZ,OLGUIN,1,JESUS,"LOPEZ OLGUIN, JESUS"
PEREZ,SATO,1,MARCOS,"PEREZ SATO, MARCOS"
JIMENEZ,GARCIA,C,DANIEL,"JIMENEZ GARCIA, DANIEL"
VILLARREAL,ESPINO BARROS,1,OSCAR,"VILLARREAL ESPINO BARROS, OSCAR"
MENDOZA,HERNANDEZ,1,JOSE,"MENDOZA HERNANDEZ, JOSE"
AVILA SOSA,SANCHEZ,1,RAUL,"AVILA SOSA SANCHEZ, RAUL"
VILLA,MANCERA,1,ABEL,"VILLA MANCERA, ABEL"
ROMERO,LOPEZ,1,ANGEL,"ROMERO LOPEZ, ANGEL"
ROMERO,ARENAS,1,OMAR,"ROMERO ARENAS, OMAR"
BAEZ,ROGELIO,1,ANTONINO,"BAEZ ROGELIO, ANTONINO"
RAMIREZ,MATA,1,ALBERTO,"RAMIREZ MATA, ALBERTO"
REYES,MATAMOROS,1,JENARO,"REYES MATAMOROS, JENARO"
OCHOA,VELASCO,1,CARLOS,"OCHOA VELASCO, CARLOS"
LUNA,GUEVARA,C,JUAN,"LUNA GUEVARA, JUAN"
MORALES,GARCIA,C,YOLANDA,"MORALES GARCIA, YOLANDA"
CORONA,JIMENEZ,1,EDITH,"CORONA JIMENEZ, EDITH"
HERNANDEZ,CARRANZA,C,PAOLA,"HERNANDEZ CARRANZA, PAOLA"
PEREZ,TORRES,C,BETZABETH,"PEREZ TORRES, BETZABETH"
LOPEZ,REYES,1,LUCIA,"LOPEZ REYES, LUCIA"
REBOLLAR,PEREZ,1,GEORGETTE,"REBOLLAR PEREZ, GEORGETTE"
REYNOSO,PALOMAR,1,ALEJANDRO,"REYNOSO PALOMAR, ALEJANDRO"
MENDEZ,PALACIOS,C,NESTOR,"MENDEZ PALACIOS, NESTOR"
AVELINO,FLORES,C,MARIA,"AVELINO FLORES, MARIA"
ANDRADE,HOYOS,C,PETRA,"ANDRADE HOYOS, PETRA"
BATALLA,MAYORAL,C,JESSICA,"BATALLA MAYORAL, JESSICA"
MARTINEZ,MORENO,1,DAVID,"MARTINEZ MORENO, DAVID"
CID,PEREZ,C,TERESA,"CID PEREZ, TERESA"
ZUÑIGA,SILVA,C,JOSE,"ZUÑIGA SILVA, JOSE"
LARA,CORTES,C,ESTRELLA,"LARA CORTES, ESTRELLA"
RIVERA,URBALEJO,C,AMERICA,"RIVERA URBALEJO, AMERICA"
HERNANDEZ,DOMINGUEZ,C,CARMELA,"HERNANDEZ DOMINGUEZ, CARMELA"
RUEDA,LUNA,1,ROLANDO,"RUEDA LUNA, ROLANDO"
ALONSO,HERRERO,2,JOSE,"ALONSO HERRERO, JOSE"
SANCHEZ,VAZQUEZ,3,RAFAEL,"SANCHEZ VAZQUEZ, RAFAEL"
CARRILLO,HUERTA,3,MARIO,"CARRILLO HUERTA, MARIO"
KENT,SERNA,3,ROLLIN,"KENT SERNA, ROLLIN"
GRAJALES,Y PORRAS,2,AGUSTIN,"GRAJALES Y PORRAS, AGUSTIN"
MARRONI,sin apellido Materno,2,MARIA,"MARRONI sin apellido Materno, MARIA"
ARELLANES,JIMENEZ,2,PAULINO,"ARELLANES JIMENEZ, PAULINO"
FLORES,GONZALEZ,1,SERGIO,"FLORES GONZALEZ, SERGIO"
ESTAY,REYNO,2,JAIME,"ESTAY REYNO, JAIME"
FIGUEROA,IBARRA,2,CARLOS,"FIGUEROA IBARRA, CARLOS"
LORA,CAM,2,JORGE,"LORA CAM, JORGE"
SANCHEZ,DAZA,1,GERMAN,"SANCHEZ DAZA, GERMAN"
CANSINO,ORTIZ,2,CESAR,"CANSINO ORTIZ, CESAR"
HERNANDEZ,ORNELAS,3,PEDRO,"HERNANDEZ ORNELAS, PEDRO"
TISCHLER,VISQUERRA,2,SERGIO,"TISCHLER VISQUERRA, SERGIO"
HOLLOWAY,sin apellido Materno,3,JOHN,"HOLLOWAY sin apellido Materno, JOHN"
NETZAHUALCOYOTZI,LUNA,1,RAUL,"NETZAHUALCOYOTZI LUNA, RAUL"
MARTINEZ,DE ITA,1,MARIA,"MARTINEZ DE ITA, MARIA"
RIVERA,DE LA ROSA,1,JOSE,"RIVERA DE LA ROSA, JOSE"
PEREZ,MENDOZA,1,JOSE,"PEREZ MENDOZA, JOSE"
GUILLERMO,PEON,2,SYLVIA,"GUILLERMO PEON, SYLVIA"
MATAMOROS,PONCE,1,FERNANDO,"MATAMOROS PONCE, FERNANDO"
DOMINGUEZ,RIOS,1,MARIA,"DOMINGUEZ RIOS, MARIA"
MACIP,RIOS,1,RICARDO,"MACIP RIOS, RICARDO"
VAZQUEZ,VALLEJO,1,JOSE,"VAZQUEZ VALLEJO, JOSE"
MUNGUIA,SALAZAR,1,ALEX,"MUNGUIA SALAZAR, ALEX"
MEYER,RODRIGUEZ,1,JOSE,"MEYER RODRIGUEZ, JOSE"
RODRIGUEZ,SUAREZ,1,PEDRO,"RODRIGUEZ SUAREZ, PEDRO"
TEXIS,FLORES,1,MICHELLE,"TEXIS FLORES, MICHELLE"
BUSSIERE,sin apellido Materno,2,YVES,"BUSSIERE sin apellido Materno, YVES"
DAMIAN,HUATO,2,MIGUEL,"DAMIAN HUATO, MIGUEL"
VERA,MUÑOZ,1,JOSE,"VERA MUÑOZ, JOSE"
AGUILAR,BALDERAS,1,LIDIA,"AGUILAR BALDERAS, LIDIA"
PRADO,LALLANDE,1,JUAN,"PRADO LALLANDE, JUAN"
FLORES,SALGADO,1,LUCERITO,"FLORES SALGADO, LUCERITO"
OCHOA,BILBAO,1,LUIS,"OCHOA BILBAO, LUIS"
SANCHEZ,ESPINOZA,1,FRANCISCO,"SANCHEZ ESPINOZA, FRANCISCO"
MENDIETA,RAMIREZ,1,CONCEPCION,"MENDIETA RAMIREZ, CONCEPCION"
MIRANDA,MUÑOZ,1,MARTHA,"MIRANDA MUÑOZ, MARTHA"
FIGUERAS,ZANABRIA,1,VICTOR,"FIGUERAS ZANABRIA, VICTOR"
RAPPO,MIGUEZ,1,SUSANA,"RAPPO MIGUEZ, SUSANA"
COUTIÑO,OSORIO,1,PATRICIA,"COUTIÑO OSORIO, PATRICIA"
SCHIAFFINI,APONTE,1,ROSSANA,"SCHIAFFINI APONTE, ROSSANA"
RODRIGUEZ,ESCOBEDO,1,FRANCISCO,"RODRIGUEZ ESCOBEDO, FRANCISCO"
CASTILLO,DURAN,1,JORGE,"CASTILLO DURAN, JORGE"
FUENTES,DIAZ,1,ANTONIO,"FUENTES DIAZ, ANTONIO"
CAMPOS,CABRAL,1,VALENTINA,"CAMPOS CABRAL, VALENTINA"
BERNAL,MENDOZA,1,HECTOR,"BERNAL MENDOZA, HECTOR"
RIVERA,HERNANDEZ,1,CLAUDIA,"RIVERA HERNANDEZ, CLAUDIA"
SALGADO,GARCIA,1,LORENZO,"SALGADO GARCIA, LORENZO"
VAZQUEZ,TORIZ,1,ROSALIA,"VAZQUEZ TORIZ, ROSALIA"
FURLONG,Y ZACAULA,1,AURORA,"FURLONG Y ZACAULA, AURORA"
ACEVES,LOPEZ,1,LIZA,"ACEVES LOPEZ, LIZA"
ORTEGA,RAMIREZ,1,ADRIANA,"ORTEGA RAMIREZ, ADRIANA"
VELAZQUEZ,CABALLERO,1,DIEGO,"VELAZQUEZ CABALLERO, DIEGO"
OCMAN,AZUETA,1,CLAUDIA,"OCMAN AZUETA, CLAUDIA"
GUTIERREZ,AGUILAR,1,MARIA,"GUTIERREZ AGUILAR, MARIA"
SANCHEZ,GAVI,1,JOSE,"SANCHEZ GAVI, JOSE"
ABSALON,CAPETE,1,CARLOS,"ABSALON CAPETE, CARLOS"
FONSECA,LOPEZ,1,MIRIAM,"FONSECA LOPEZ, MIRIAM"
AMADOR,VAZQUEZ,1,SAMUEL,"AMADOR VAZQUEZ, SAMUEL"
ECHEVERRIA,VICTORIA,1,MARTIN,"ECHEVERRIA VICTORIA, MARTIN"
MANZANO,MUNGUIA,1,MARIA,"MANZANO MUNGUIA, MARIA"
ESPINOSA,SANTIAGO,C,ORLANDO,"ESPINOSA SANTIAGO, ORLANDO"
LO BRUTTO,sin apellido Materno,1,GIUSEPPE,"LO BRUTTO sin apellido Materno, GIUSEPPE"
ZENTENO,TREJO,1,BLANCA,"ZENTENO TREJO, BLANCA"
OSORNO,SANCHEZ,1,ARMANDO,"OSORNO SANCHEZ, ARMANDO"
BUENO,CEVADA,C,LUIS,"BUENO CEVADA, LUIS"
AHUACTZIN,MARTINEZ,1,CARLOS,"AHUACTZIN MARTINEZ, CARLOS"
GUEVARA,ROMERO,1,MARIA,"GUEVARA ROMERO, MARIA"
ANGOA,PEREZ,1,MARIA,"ANGOA PEREZ, MARIA"
ESPINOSA,MARQUEZ,C,ARACELI,"ESPINOSA MARQUEZ, ARACELI"
SANCHEZ,ZAMORA,C,ROMAN,"SANCHEZ ZAMORA, ROMAN"
GUTIERREZ,AYALA,C,MARCOS,"GUTIERREZ AYALA, MARCOS"
ESTRADA,RODRIGUEZ,1,JOSE,"ESTRADA RODRIGUEZ, JOSE"
GARCIA,PEREZ,C,ISRAEL,"GARCIA PEREZ, ISRAEL"
ESTRADA,QUIROZ,1,LILIANA,"ESTRADA QUIROZ, LILIANA"
RAMIREZ,ROSETE,C,NORMA,"RAMIREZ ROSETE, NORMA"
NAVARRO,TRUJILLO,1,MINA,"NAVARRO TRUJILLO, MINA"
CHAVEZ,MAZA,C,LUIS,"CHAVEZ MAZA, LUIS"
CASTELLANOS,ARENAS,C,MARIANO,"CASTELLANOS ARENAS, MARIANO"
AGUILAR,PEREZ,C,MIRZA,"AGUILAR PEREZ, MIRZA"
MORENO,HERNANDEZ,C,HUGO,"MORENO HERNANDEZ, HUGO"
MARTINEZ,CARREÑO,C,BEATRIZ,"MARTINEZ CARREÑO, BEATRIZ"
LOPEZ,MARTINEZ,C,MARCO,"LOPEZ MARTINEZ, MARCO"
PEREZ,GALMICHE,1,GABRIEL,"PEREZ GALMICHE, GABRIEL"
HARO,ZEA,C,KARLA,"HARO ZEA, KARLA"
VAZQUEZ,VALDES,C,VERONICA,"VAZQUEZ VALDES, VERONICA"
GONZALEZ,VELAZQUEZ,1,ROGELIO,"GONZALEZ VELAZQUEZ, ROGELIO"
ROMERO,AMADO,C,JORGE,"ROMERO AMADO, JORGE"
LOPEZ,TOACHE,C,VANIA,"LOPEZ TOACHE, VANIA"
LINSALATA,sin apellido Materno,1,LUCIA,"LINSALATA sin apellido Materno, LUCIA"
GARCIA,GOMEZ,C,JAZMIN,"GARCIA GOMEZ, JAZMIN"
LAGUNES,LOPEZ,C,OSCAR,"LAGUNES LOPEZ, OSCAR"
MORENO,VELADOR,C,OCTAVIO,"MORENO VELADOR, OCTAVIO"
BALLEN,GUACHETA,1,ELIZABETH,"BALLEN GUACHETA, ELIZABETH"
CRUZ,CARVAJAL,C,CRISTINA,"CRUZ CARVAJAL, CRISTINA"
PALACIOS,DUARTE,C,PABLO,"PALACIOS DUARTE, PABLO"
GUTIERREZ,DOMINGUEZ,C,LUIS,"GUTIERREZ DOMINGUEZ, LUIS"
DE GORTARI,LUDLOW,C,NATALIA,"DE GORTARI LUDLOW, NATALIA"
GUTIERREZ,OCHOA,1,FRANCISCO,"GUTIERREZ OCHOA, FRANCISCO"
GONZALEZ,PEREYRA,1,ROCIO,"GONZALEZ PEREYRA, ROCIO"
HERNANDEZ,RIVERA,C,ARIADNA,"HERNANDEZ RIVERA, ARIADNA"
SOSA,GONZALEZ,1,JOSE,"SOSA GONZALEZ, JOSE"
REYES,ALVAREZ,C,JUAN,"REYES ALVAREZ, JUAN"
SANTACRUZ,MORALES,C,DAVID,"SANTACRUZ MORALES, DAVID"
VELASCO,HERNANDEZ,1,MARIA,"VELASCO HERNANDEZ, MARIA"
AGUILAR,CRUZ,C,FABIOLA,"AGUILAR CRUZ, FABIOLA"
HERRERA,GARCIA,C,ADOLFO,"HERRERA GARCIA, ADOLFO"
SANCHEZ,MORALES,1,PRIMO,"SANCHEZ MORALES, PRIMO"
MORALES,GAMEZ,C,LUIS,"MORALES GAMEZ, LUIS"
CABRERA,GARCIA,1,ADA,"CABRERA GARCIA, ADA"
ESTRADA,ANALCO,C,JOSE,"ESTRADA ANALCO, JOSE"
GERONIMO,CASTILLO,C,FABIAN,"GERONIMO CASTILLO, FABIAN"
GARCIA,CAUDILLO,1,PEDRO,"GARCIA CAUDILLO, PEDRO"
GOMEZ TAGLE,LOPEZ,C,ERICK,"GOMEZ TAGLE LOPEZ, ERICK"
LUNA,ACOSTA,3,GERMAN,"LUNA ACOSTA, GERMAN"
SALAZAR,IBARGUEN,3,HUMBERTO,"SALAZAR IBARGUEN, HUMBERTO"
PALMA,ALMENDRA,3,ALEJANDRO,"PALMA ALMENDRA, ALEJANDRO"
CARRILLO,ESTRADA,3,JOSE,"CARRILLO ESTRADA, JOSE"
LOPEZ,CRUZ,2,JOSE,"LOPEZ CRUZ, JOSE"
TORRES,DEL CASTILLO,3,GERARDO,"TORRES DEL CASTILLO, GERARDO"
GRACIA,Y JIMENEZ,2,JUSTO,"GRACIA Y JIMENEZ, JUSTO"
RODRIGUEZ,ZURITA,2,GUSTAVO,"RODRIGUEZ ZURITA, GUSTAVO"
MENDOZA,ALVAREZ,2,MARIA,"MENDOZA ALVAREZ, MARIA"
DIAZ,BECERRIL,2,TOMAS,"DIAZ BECERRIL, TOMAS"
FLORES,RIVEROS,2,ANTONIO,"FLORES RIVEROS, ANTONIO"
ROSADO,SANCHEZ,3,ALFONSO,"ROSADO SANCHEZ, ALFONSO"
ARRIAGA,RODRIGUEZ,3,J.,"ARRIAGA RODRIGUEZ, J."
MEZA,MONTES,1,LILIA,"MEZA MONTES, LILIA"
HERNANDEZ,COCOLETZI,3,GREGORIO,"HERNANDEZ COCOLETZI, GREGORIO"
HERRERA,PACHECO,1,JOSE,"HERRERA PACHECO, JOSE"
BERMUDEZ,JUAREZ,1,MARIA,"BERMUDEZ JUAREZ, MARIA"
LOZADA,MORALES,3,ROSENDO,"LOZADA MORALES, ROSENDO"
PEREZ,RODRIGUEZ,3,FELIPE,"PEREZ RODRIGUEZ, FELIPE"
SILVA,GONZALEZ,2,NICOLAS,"SILVA GONZALEZ, NICOLAS"
FERNANDEZ,TELLEZ,3,ARTURO,"FERNANDEZ TELLEZ, ARTURO"
DIAZ,CRUZ,3,JUSTINIANO,"DIAZ CRUZ, JUSTINIANO"
RIVAS,SILVA,2,JUAN,"RIVAS SILVA, JUAN"
TOSCANO,CHAVEZ,3,J.,"TOSCANO CHAVEZ, J."
RAMIREZ,ROMERO,2,CUPATITZIO,"RAMIREZ ROMERO, CUPATITZIO"
PALOMINO,OVANDO,2,MARTHA,"PALOMINO OVANDO, MARTHA"
RUIZ,ESTRADA,2,HONORINA,"RUIZ ESTRADA, HONORINA"
SILVA,ORTIGOZA,2,GILBERTO,"SILVA ORTIGOZA, GILBERTO"
MARTI,PANAMEÑO,2,ERWIN,"MARTI PANAMEÑO, ERWIN"
FLORES,DESIRENA,1,BENITO,"FLORES DESIRENA, BENITO"
FRAGUELA,COLLAR,2,ANDRES,"FRAGUELA COLLAR, ANDRES"
MARTINEZ,BRAVO,1,OSCAR,"MARTINEZ BRAVO, OSCAR"
BUSTAMANTE,GONZALEZ,3,JORGE,"BUSTAMANTE GONZALEZ, JORGE"
PRUTSKIJ,ALEKSEEVA,1,TATIANA,"PRUTSKIJ ALEKSEEVA, TATIANA"
OSTROVSKY,sin apellido Materno,2,ANDREY,"OSTROVSKY sin apellido Materno, ANDREY"
RANGEL,HUERTA,1,JOSE,"RANGEL HUERTA, JOSE"
DE ITA,LUNA,1,GUILLERMO,"DE ITA LUNA, GUILLERMO"
GONZALEZ,JIMENEZ,1,EDUARDO,"GONZALEZ JIMENEZ, EDUARDO"
PANDO,LAMBRUSCHINI,2,CARLOS,"PANDO LAMBRUSCHINI, CARLOS"
ESCOBEDO,CONDE,2,RAUL,"ESCOBEDO CONDE, RAUL"
CARTAS,FUENTEVILLA,2,ROBERTO,"CARTAS FUENTEVILLA, ROBERTO"
JIMENEZ,POZO,2,MIGUEL,"JIMENEZ POZO, MIGUEL"
ROJAS,RODRIGUEZ,1,JOSE,"ROJAS RODRIGUEZ, JOSE"
PAL,sin apellido Materno,3,UMAPADA,"PAL sin apellido Materno, UMAPADA"
OKUNEV,sin apellido Materno,3,OLEG,"OKUNEV sin apellido Materno, OLEG"
AREVALO,AGUILAR,1,LUIS,"AREVALO AGUILAR, LUIS"
POLTEV,sin apellido Materno,2,VALERI,"POLTEV sin apellido Materno, VALERI"
BYKOV,sin apellido Materno,2,ALEXANDER,"BYKOV sin apellido Materno, ALEXANDER"
SERKIN,sin apellido Materno,3,VLADIMIR,"SERKIN sin apellido Materno, VLADIMIR"
MELENDEZ,BUSTAMANTE,3,FRANCISCO,"MELENDEZ BUSTAMANTE, FRANCISCO"
PALOMINO,MERINO,2,MARTIN,"PALOMINO MERINO, MARTIN"
DOMINGUEZ,SOTO,2,PATRICIA,"DOMINGUEZ SOTO, PATRICIA"
IZRAYLEV,sin apellido Materno,3,FELIKS,"IZRAYLEV sin apellido Materno, FELIKS"
TAVARES,VELASCO,3,GILBERTO,"TAVARES VELASCO, GILBERTO"
MENDEZ,OTERO,1,MARCELA,"MENDEZ OTERO, MARCELA"
MAKAROV,sin apellido Materno,3,NYKOLAY,"MAKAROV sin apellido Materno, NYKOLAY"
VARGAS,TREVIÑO,1,MARIA,"VARGAS TREVIÑO, MARIA"
VERGARA,LIMON,1,SERGIO,"VERGARA LIMON, SERGIO"
OLIVEROS,OLIVEROS,1,JOSE,"OLIVEROS OLIVEROS, JOSE"
BELTRAN,PEREZ,2,GEORGINA,"BELTRAN PEREZ, GEORGINA"
MENDOZA,TORRES,1,FRANCISCO,"MENDOZA TORRES, FRANCISCO"
ALTUZAR,AGUILAR,1,VICTOR,"ALTUZAR AGUILAR, VICTOR"
MENDOZA,BARRERA,1,CLAUDIA,"MENDOZA BARRERA, CLAUDIA"
