año,tipo,ingreso
2020,estfun,2531.5309833333336
2020,estprof,78833.94306916666
2020,netafun,5568.207175
2020,netaprof,23553.447799999998
2020,sni,25451.2119
2021,estfun,2011.1227333333334
2021,estprof,46093.302594444445
2021,netafun,6332.6075
2021,netaprof,24464.974925000002
2021,sni,30990.61875
2022,estfun,2180.3561395833335
2022,estprof,86775.26554027777
2022,netafun,6697.749025
2022,netaprof,25192.352725
2022,sni,35276.5854
