ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LOS APOYOS ECONÓMICOS,MONTO BRUTO DE LOS APOYOS ECONÓMICOS,MONTO NETO DE LOS APOYOS ECONÓMICOS,TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS,PERIODICIDAD DE LOS APOYOS ECONÓMICOS
1673125280,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125296,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125297,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125312,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125313,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123167,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123170,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123260,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123263,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123337,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123339,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123409,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123411,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123481,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123484,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123567,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123570,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123651,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123653,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123740,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123742,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123827,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123829,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123906,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123908,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123983,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123986,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124068,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124071,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124623,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124624,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124656,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124658,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124679,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124680,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673124711,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
