ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO,TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO,PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO
1569431797,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,20449,20449,PESOS,MENSUAL
1569431800,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,20390.48,17476.24,PESOS,MENSUAL
1569431894,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,18401.04,15911.74,PESOS,MENSUAL
1569431894,24/06/2022,24/06/2022,ZONA GEOGRAFICA,7667.1,7106.9,PESOS,MENSUAL
1569431897,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4434.76,4179.81,PESOS,MENSUAL
1569431897,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,54813,54813,PESOS,MENSUAL
1569431995,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4516.8,4256.6,PESOS,MENSUAL
1569431995,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,10393,10393,PESOS,MENSUAL
1569431998,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,20830.32,17822.13,PESOS,MENSUAL
1569431998,24/06/2022,24/06/2022,COMPLEMENTARIOS,8679.3,8008.97,PESOS,MENSUAL
1569432104,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13886.88,12361.81,PESOS,MENSUAL
1569432107,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13137.84,11764.38,PESOS,MENSUAL
1569432191,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12394.42,11154.18,PESOS,MENSUAL
1569432193,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,14227.68,12629.81,PESOS,MENSUAL
1569432196,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4024.58,3795.88,PESOS,MENSUAL
1569432269,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,22875.36,19430.35,PESOS,MENSUAL
1569432271,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,5171.92,4869.79,PESOS,MENSUAL
1569432271,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,26587,26587,PESOS,MENSUAL
1569432355,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4858.48,4576.41,PESOS,MENSUAL
1569432355,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,26587,26587,PESOS,MENSUAL
1569432435,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12727.3,11427.41,PESOS,MENSUAL
1569432435,24/06/2022,24/06/2022,COMPLEMENTARIOS,1088.1,1047.34,PESOS,MENSUAL
1569432437,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,22101.12,18821.48,PESOS,MENSUAL
1569432522,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,9033.68,8324.79,PESOS,MENSUAL
1569432522,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,8345,8345,PESOS,MENSUAL
1569432525,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,19192.78,16534.37,PESOS,MENSUAL
1569432600,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,8853.16,8163.91,PESOS,MENSUAL
1569432602,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11921.4,10765.93,PESOS,MENSUAL
1569432602,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,24157,24157,PESOS,MENSUAL
1569432605,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12007.04,10836.22,PESOS,MENSUAL
1569432605,24/06/2022,24/06/2022,COMPLEMENTARIOS,737.76,719.42,PESOS,MENSUAL
1569432697,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,8470.06,7822.49,PESOS,MENSUAL
1569432697,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,6954,6954,PESOS,MENSUAL
